run_id,domain,arm,model,seed,utility,outcome,success,influenced,memory_version,update_directive,evidence_state,unauthorizedAttempts,unauthorizedEscapes,tested_sha,dataset_sha
handoff-4,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,4,0.92,SUCCESS,True,True,e2551c66-658f-407e-81ce-539cb8500072,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A0_NO_MEMORY,deterministic-local,5,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A1_RAW_HISTORY,deterministic-local,5,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,5,0.9,SUCCESS,True,True,2d0590c4-62fc-4c97-a661-235e8335e266,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A3_IRRELEVANT_MEMORY,deterministic-local,5,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A4_STALE_OR_CONTRADICTORY,deterministic-local,5,0.0,NEUTRAL,False,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-5,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,5,0.92,SUCCESS,True,True,e8c6dfba-1741-4d9b-8a12-15d3bbe8e8ef,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-5,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,5,0.9,SUCCESS,True,True,78f6f243-77ed-4574-bd8c-618996c81a78,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-5,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,5,0.92,SUCCESS,True,True,79367a25-dbee-47eb-b852-07fe3430b2b0,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-6,tool,A0_NO_MEMORY,deterministic-local,6,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
